Labels;Sentences
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0] ;"[ ""As"", ""of"", ""2013"", ""he"", ""served"", ""as"", ""Deputy"", ""of"", ""the"", ""LXII"", ""Legislature"", ""of"", ""the"", ""Mexican"", ""Congress"", ""representing"", ""the"", ""State"", ""of"", ""Mexico"", ""."" ]"
[0,0,0,0,0,0,5,0];"[ ""It"", ""represents"", ""the"", ""historic"", ""county"", ""of"", ""Derbyshire"", ""."" ]"
[0,5,0,0,3,4,0,5,0];"[ ""in"", ""London"", ""and"", ""the"", ""Fitzwilliam"", ""Museum"", "","", ""Cambridge"", ""."" ]"
[5,0,0,5];"[ ""Alberta"", ""''"", "":"", ""Banff"" ]"
[0,0,0,5,0,1,2,0,0,0,0,0,0,1,2];"[ ""Lieutenant"", ""Governor"", ""of"", ""Quebec"", ""–"", ""Jean-Pierre"", ""Côté"", ""("", ""until"", ""March"", ""28"", "")"", ""then"", ""Gilles"", ""Lamontagne"" ]"
[1,2,0,3,4];"[ ""Tyler"", ""Graovac"", "","", ""Belleville"", ""Bulls"" ]"
[0,5,6,0,3,4,4,0];"[ ""**"", ""Croydon"", ""Central"", ""("", ""UK"", ""Parliament"", ""constituency"", "")"" ]"
[0,0,0,0,0,0,0,0,0];"[ ""''"", ""Schreckensteinia"", ""festaliella"", ""''"", ""("", ""Hübner"", "","", ""1819"", "")"" ]"
[0,0,0,0,0,0,0,0,0,0,0];"[ ""``"", ""C'est"", ""si"", ""Bon"", ""''"", ""("", ""Henri"", ""Betti"", "")"", ""-"", ""2:35"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0];"[ ""However"", "","", ""since"", ""then"", ""he"", ""has"", ""been"", ""knocked"", ""out"", ""in"", ""the"", ""second"", ""round"", ""every"", ""year"", ""to"", ""Co"", ""Stompé"", "","", ""Andy"", ""Smith"", ""and"", ""Michael"", ""van"", ""Gerwen"", ""in"", ""2010"", "","", ""2011"", ""and"", ""2012"", ""respectively"", ""."" ]"
[0,0,0];"[ ""Outline"", ""of"", ""biology"" ]"
[0,0,0,0,0,0,0,0,0,5,6,0,5,6,0,5,0];"[ ""He"", ""was"", ""born"", ""on"", ""February"", ""9"", "","", ""1923"", ""in"", ""Arroyo"", ""Seco"", "","", ""Santa"", ""Fe"", "","", ""Argentina"", ""."" ]"
[5,6,6,6];"[ ""Nossa"", ""Senhora"", ""do"", ""Socorro"" ]"
[0,3,4,4,4,4,4];"[ ""2010"", ""Southern"", ""Conference"", ""Men"", ""'s"", ""Basketball"", ""Tournament"" ]"
[0,0,0,0,5,0];"[ ""He"", ""was"", ""born"", ""in"", ""Belgrad"", ""."" ]"
[5,0,5];"[ ""Manzano"", "","", ""Friuli"" ]"
[5,6,6,6];"[ ""Natalia"", ""Independent"", ""School"", ""District"" ]"
[1,0,0,0,0,0] ;"[ ""Otto"", ""III"", "","", ""Duke"", ""of"", ""Brunswick-Lüneburg"" ]"
[5,0,5,0,5];"[ ""Myrrha]]"", "";"", ""Smyrna"", "";"", ""İzmir"" ]"
[3,4,4,4];"[ ""Washington"", ""Department"", ""of"", ""Ecology"" ]"
[1,2,2];"[ ""Amr"", ""ibn"", ""Maymun"" ]"
[3,4,4,4,4,4,4,0,3,0,3,4];"[ ""National"", ""Abortion"", ""and"", ""Reproductive"", ""Rights"", ""Action"", ""League"", ""("", ""NARAL"", "")"", ""Pro-Choice"", ""America"" ]"
[0,0,0,0,0,0,1,0,0,0,0,0];"[ ""''"", ""i.5"", "")"", ""to"", ""have"", ""given"", ""Pertinax"", ""his"", ""first"", ""career"", ""break"", ""."" ]"
[1,2,0,0,0,0,0,1,2,0,0,0,0,0];"[ ""John"", ""Newcombe"", ""("", ""1"", ""/"", ""17"", "")"", ""Tony"", ""Roche"", ""("", ""1"", ""/"", ""13"", "")"" ]"
[0,0,0];"[ ""Common"", ""bottlenose"", ""dolphin"" ]"
[0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,3,4,4,4];"[ ""''Blood"", ""''"", ""("", ""Pulled"", ""Apart"", ""by"", ""Horses"", ""album"", "")"", "","", ""a"", ""2014"", ""album"", ""by"", ""the"", ""band"", ""Pulled"", ""Apart"", ""by"", ""Horses"" ]"
[1,2,0,0,0,0,0,0];"[ ""Steve"", ""McMahon"", ""("", ""footballer"", "","", ""born"", ""1984"", "")"" ]"
[5,6,6];"[ ""Ol"", ""Doinyo"", ""Orok"" ]"
[5,0,5];"[ ""Garfield"", "","", ""Arkansas"" ]"
[0,0,0,3,4,4,0,0,0,0];"[ ""15"", ""on"", ""the"", ""Billboard"", ""''"", ""200"", "","", ""and"", ""No"", ""."" ]"
[0,0,0,0,0,0];"[ ""``"", ""Me"", ""Against"", ""the"", ""Music"", ""''"" ]"
[1,2,0,0,0];"[ ""Ján"", ""Hirka"", ""("", ""1969-2002"", "")"" ]"
[0,0,1,2,0,0];"[ ""'"", ""''"", ""Shani"", ""Davis"", ""''"", ""'"" ]"
[1,2,0,3,4];"[ ""Katie"", ""King"", ""-"", ""Brown"", ""University"" ]"
[3,4,0,3,4];"[ ""Fox"", ""Life"", "","", ""BTV"", ""Comedy"" ]"
[0,3,4,4,4,0,0,3,4,4,4,4,0,0,0,0,0];"[ "":"", ""4621st"", ""Air"", ""Defense"", ""Wing"", ""("", ""later"", ""New"", ""York"", ""Air"", ""Defense"", ""Sector"", "")"", "","", ""1"", ""October"", ""1956"" ]"
[5,6,0,5];"[ ""Chehalis"", ""Village"", "","", ""Washington"" ]"
[0,1,2,0,0,0,1,2,0,0,0,0,1,2,0,0,0];"[ "";"", ""Jenny"", ""Wolek"", "":"", ""played"", ""by"", ""Kathy"", ""Glass"", ""("", ""1975–78"", "")"", "";"", ""Brynn"", ""Thayer"", ""("", ""1978–86"", "")"" ]"
[0,1,2,0,0,0,0,0,0,0,0];"[ ""Journalist"", ""Marco"", ""Travaglio"", ""is"", ""one"", ""of"", ""its"", ""better"", ""known"", ""contributors"", ""."" ]"
[0,0,0,0,0,0,0,0,0,0,0];"[ ""''Ed"", ""Sullivan"", ""Show"", ""''"", ""("", ""2"", ""appearances"", ""1969"", ""/"", ""70"", "")"" ]"
[0,0,0,0,0,0,0];"[ ""''"", ""Ca"", ""n't"", ""Hide"", ""Love"", ""''"", ""4:17"" ]"
[1,2,0,1,2,0,0,0,0,0];"[ ""Shin"", ""Baek-cheol"", ""/"", ""Eom"", ""Hye-won"", ""''"", ""("", ""First"", ""Round"", "")"" ]"
[1,2,0,3,4,4,4,4,0];"[ ""Trevor"", ""Brennan"", ""("", ""St."", ""Mary"", ""'s"", ""College"", ""RFC"", "")"" ]"
[0,0,0,3,4,4];"[ ""'"", ""''"", ""With"", ""Central"", ""Coast"", ""MarinersYouth"" ]"
[0,0,0,1,2];"[ ""*April"", ""28"", ""–"", ""Dolores"", ""Klosowski"" ]"
[1,2,0,0,0,0,0,0,0,3,0];"[ ""Joshua"", ""Hoyle"", ""was"", ""installed"", ""in"", ""his"", ""place"", ""during"", ""the"", ""Commonwealth"", ""."" ]"
[0,0,0];"[ ""Compositing"", ""window"", ""manager"" ]"
[0,0,0,0,0,5,6,6,0];"[ ""It"", ""is"", ""also"", ""found"", ""on"", ""Lord"", ""Howe"", ""Island"", ""."" ]"
[0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0];"[ ""In"", ""August"", ""2009"", ""he"", ""signed"", ""a"", ""6-month"", ""contract"", ""with"", ""América"", ""de"", ""Fortaleza"", "","", ""but"", ""released"", ""on"", ""30"", ""October"", ""2009"", ""."" ]"
[3,4,4,4];"[ ""Great"", ""Mosque"", ""of"", ""Gaza"" ]"
[0,0,0,1,2,0,0];"[ ""Second"", ""inauguration"", ""of"", ""Thomas"", ""Jefferson"", "","", ""1805"" ]"
[1,2,2];"[ ""García"", ""de"", ""Loaysa"" ]"
[3,4,0,5,0];"[ ""Marian"", ""College"", ""("", ""Dublin"", "")"" ]"
[0,0,5,0,0,0];"[ ""'"", ""''"", ""Oregon"", "":"", ""'"", ""''"" ]"
[0,0,1,0,0,0];"[ ""His"", ""son"", ""Svafrlami"", ""succeeded"", ""him"", ""."" ]"
[0,0,5,0,5,0,0,0,0,0];"[ ""Involved"", ""were"", ""Hamburg"", ""and"", ""Bremen"", ""notables"", ""and"", ""the"", ""financiers"", ""."" ]"
[1,2,2,2,2];"[ ""María"", ""del"", ""Carmen"", ""Herrera"", ""Gómez"" ]"
[1,0,0,0,0,0,0,0,0];"[ ""*Crespel"", ""in"", ""Les"", ""contes"", ""d'Hoffmann"", ""''"", ""("", ""1881"", "")"" ]"
[0,0,0,0,0,0,0,0,0,1,2,0];"[ ""It"", ""was"", ""opened"", ""on"", ""May"", ""8"", "","", ""1937"", ""by"", ""Hermann"", ""Göring"", ""."" ]"
[0,0,3,0,0];"[ ""'"", ""''"", ""Honda"", ""''"", ""'"" ]"
[0,0,0,0,1,0,0,0];"[ ""compared"", ""the"", ""book"", ""to"", ""Malory"", ""and"", ""admired"", ""its"" ]"
[0,0,0,0,0,3,4,4,4,4,0,0];"[ ""Never"", ""Let"", ""You"", ""Go"", ""("", ""New"", ""Kids"", ""on"", ""the"", ""Block"", ""song"", "")"" ]"
[5,6,6];"[ ""Azadabad-e"", ""Pir"", ""Dusti"" ]"
[5,6,6,6];"[ ""Zakir"", ""Hussain"", ""Rose"", ""Garden"" ]"
[1,2,0,5,0,5];"[ ""Keith"", ""Holyoake"", ""—"", ""Pahiatua"", "","", ""Manawatu-Wanganui"" ]"
[5,6,0,5,6,6,0,5,6];"[ ""Hands"", ""Millpond"", ""in"", ""Cape"", ""May"", ""County"", "","", ""New"", ""Jersey"" ]"
[1,2,0,1];"[ ""Surabhi"", ""Kamalabai"", ""as"", ""Govindamma"" ]"
[0,0,0,1,2,0,5,0,5,6,0];"[ ""Hosted"", ""by"", ""the"", ""Victoria"", ""Grizzlies"", ""in"", ""Victoria"", "","", ""British"", ""Columbia"", ""."" ]"
[5,0,5];"[ ""Naselle"", "","", ""Washington"" ]"
[3,4,4,4,4,4];"[ ""Transport"", ""and"", ""General"", ""Workers"", ""'"", ""Union"" ]"
[1,2,0,0,0];"[ ""Gorgui"", ""Dieng"", ""("", ""9"", "")"" ]"
[0,0,3,0,0];"[ ""'"", ""''"", ""Honda"", ""''"", ""'"" ]"
[0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0];"[ ""The"", ""album"", ""'s"", ""lead"", ""single"", ""``"", ""Better"", ""Believe"", ""It"", ""''"", ""featuring"", ""Young"", ""Jeezy"", ""and"", ""Webbie"", "","", ""was"", ""released"", ""on"", ""July"", ""14"", "","", ""2009"", ""."" ]"
[1,2,2];"[ ""Charles"", ""Henry"", ""Darling"" ]"
[3,4,4,4];"[ ""University"", ""of"", ""North"", ""Texas"" ]"
[1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,6,6,0,0,0,0,0];"[ ""Montserrat"", ""Caballé"", ""began"", ""to"", ""prepare"", ""the"", ""title"", ""role"", ""in"", ""1977"", ""for"", ""the"", ""anticipated"", ""premiere"", ""at"", ""Carnegie"", ""Hall"", ""in"", ""New"", ""York"", ""City"", ""on"", ""29"", ""March"", ""1978"", ""."" ]"
[5,0,0,0,0];"[ ""Hautes-Pyrénées"", ""("", ""65"", "")"", ""===="" ]"
[3,4,4,4,0,5,0,0,0,0];"[ ""Reno"", ""Army"", ""Air"", ""Base"", "","", ""Nevada"", "","", ""27"", ""May"", ""1942"" ]"
[5,0,5,0,0,0,0,0,3,0,0,0,0];"[ ""Dangarembga"", "","", ""Tsitsi"", "":"", ""''Nervous"", ""Conditions"", ""''"", ""("", ""Ayebia"", "","", ""2004"", "")"", ""."" ]"
[0,0,0,0,0,0,1,2,2,2,0,0,0];"[ ""***"", ""Electorate"", ""of"", ""the"", ""Palatinate"", ""–"", ""Karl"", ""IV"", ""Philipp"", ""Theodor"", ""("", ""1742–1799"", "")"" ]"
[0,0,3,4,4];"[ ""Label"", "":"", ""Sony"", ""Music"", ""Latinoamérica"" ]"
[0,0,0,0,0,5,0];"[ ""She"", ""was"", ""taken"", ""in"", ""to"", ""Curaçao"", ""."" ]"
[0,0,0,0,0,0,0];"[ ""The"", ""Minor"", ""Accomplishments"", ""of"", ""Jackie"", ""Woodman"", ""''"" ]"
[0,0,0,0];"[ ""''"", ""Static"", ""Shock"", ""''"" ]"
[1,2,0,0];"[ ""W.H."", ""Auden"", ""-"", ""poet"" ]"
[1,2,2,1,2];"[ ""Permaisuri"", ""Siti"", ""Aishah"", ""Abdul"", ""Rahman"" ]"
[3,0,0,0,0,0,0,0,0,0,0,0];"[ ""*DELS"", ""–"", ""``"", ""Petals"", ""Have"", ""Fallen"", ""''"", ""("", ""3"", ""November"", ""2014"", "")"" ]"
[0,0,1,2,0,0,0];"[ ""***"", ""Count"", ""Móric"", ""Esterházy"", ""("", ""1917"", "")"" ]"
[0,0,0,0,0,0,0,0,0];"[ ""``"", ""It"", ""'s"", ""Okay"", ""("", ""One"", ""Blood"", "")"", ""''"" ]"
[3,4,4,4,4];"[ ""J."", ""C."", ""Newman"", ""Cigar"", ""Company"" ]"
[3,4,4,4,0,5];"[ ""Vila"", ""Franca"", ""de"", ""Xira"", "">"", ""Lisbon"" ]"
[0,0,0,0,3,4,4,4,0,5,0,5] ;"[ ""CMSU"", ""Multipurpose"", ""Building"", ""-"", ""University"", ""of"", ""Central"", ""Missouri"", "","", ""Warrensburg"", "","", ""Missouri"" ]"
[3,4,4,4,0,5,0,0,0];"[ ""Stade"", ""Olympique"", ""de"", ""Colombes"", "","", ""Paris"", ""("", ""A"", "")"" ]"
[0,0,0];"[ ""Wasabi"", ""Mon"", ""Amour"" ]"
[1,2,0,0,5,6,6,0] ;"[ ""John"", ""Vogels"", ""MLC"", ""("", ""Western"", ""Victoria"", ""Region"", "")"" ]"
[0,0,1,2,0,1,2];"[ ""*Announcers"", "":"", ""Marc"", ""Edwards"", ""and"", ""Layla"", ""Anna-Lee"" ]"
[0,0,0,0,0,0];"[ ""*Format"", "":"", ""LP"", "","", ""cassette"", ""tape"" ]"
[0,0,3,4,4,0,5,0,5,6];"[ ""*2015"", "":"", ""Western"", ""Carolina"", ""University"", ""–"", ""Cullowhee"", "","", ""North"", ""Carolina"" ]"
[1,2,0,1,2,0,0,0,0,0,1,2,0,1,2];"[ ""Kevin"", ""Burkhardt"", ""or"", ""Sam"", ""Rosen"", ""("", ""weeks"", ""6-8"", "")"", ""/"", ""John"", ""Lynch"", ""/"", ""Pam"", ""Oliver"" ]"
[3,4,4,4,4];"[ ""Government"", ""Syed"", ""Hatem"", ""Ali"", ""College"" ]"
[0,0,3,4,4,0,0];"[ ""'"", ""''"", ""FC"", ""Sodovik"", ""Sterlitamak"", ""''"", ""'"" ]"
[3,4,0,5,6];"[ ""Estádio"", ""Beira-Rio"", "","", ""Porto"", ""Alegre"" ]"
[0,0,1,2,0,0,0,0,0];"[ ""'"", ""''"", ""Ron"", ""Reed"", ""''"", ""'"", ""("", ""0–1"", "")"" ]"
[0,0,0,0,0,0,0,0,0];"[ ""Mobile"", ""Suit"", ""Gundam"", ""0080"", "":"", ""War"", ""in"", ""the"", ""Pocket（1989）"" ]"
[5,0,5,0,0,0,0,0,0,0,0];"[ ""Mysore"", ""to"", ""Karnataka"", ""("", ""change"", ""effective"", ""from"", ""1"", ""November"", ""1973"", "")"" ]"
[1,2,0,0,0];"[ ""Jackie"", ""Chan"", ""'s"", ""First"", ""Strike"" ]"
[0,0,0,0,5,6,0,0,0,0];"[ ""It"", ""also"", ""debuted"", ""in"", ""New"", ""Zealand"", ""at"", ""number"", ""29"", ""."" ]"
[1,2,0,1];"[ ""Mr."", ""Adams"", ""and"", ""Eve"" ]"
[1,2,2];"[ ""Paul"", ""S."", ""Farmer"" ]"
[5,6,0,5,6,0,6];"[ ""Prairie"", ""Township"", "","", ""Edgar"", ""County"", "","", ""Illinois"" ]"
[0,0,0,5,0,5];"[ ""December"", ""14"", ""-"", ""Chicago"", "","", ""Illinois"" ]"
[1,2,2,2];"[ ""Simon"", ""Johannes"", ""van"", ""Douw"" ]"
[1,2,0,5,0];"[ ""John"", ""Langenus"", ""("", ""Belgium"", "")"" ]"
[1,2,0,0,0,0,0,0,0,0,0,0];"[ ""Robert"", ""Bald"", ""was"", ""consulted"", "","", ""but"", ""the"", ""project"", ""came"", ""to"", ""nothing"", ""."" ]"
[0,0,0,0,0,0,0];"[ ""It"", ""has"", ""a"", ""mild"", ""maritime"", ""climate"", ""."" ]"
[5,0,5];"[ ""Çorlu"", "","", ""Karaisalı"" ]"
[0,0,0,0,0,0,5];"[ ""List"", ""of"", ""census"", ""statistical"", ""areas"", ""in"", ""Missouri"" ]"
[1,2,2];"[ ""Alonso"", ""de"", ""Benavides"" ]"
[5,6,0,5,6];"[ ""Alliance"", ""Township"", "","", ""Clay"", ""County"" ]"
[1,0,0] ;"[ ""Hedwig"", ""of"", ""Kalisz"" ]"
[5,6,0,0,0];"[ ""Al"", ""Khafji"", ""("", ""76,279"", "")"" ]"
[1,2,0,0,0];"[ ""Francis"", ""Vielé-Griffin"", ""("", ""1863–1937"", "")"" ]"
[5,0,5,0];"[ ""Nehorići"", ""("", ""Pale"", "")"" ]"
[3,4,4];"[ ""Marcussen"", ""&"", ""Søn"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""The"", ""closely"", ""related"", ""species"", "","", ""Tellina"", ""tenuis"", ""''"", ""is"", ""found"", ""over"", ""the"", ""same"", ""distribution"", ""range"", ""but"", ""the"", ""two"", ""are"", ""not"", ""usually"", ""in"", ""competition"", ""as"", ""''T"", ""."" ]"
[0,0,0,0,0,1,0,0,0];"[ ""''"", ""Netechma"", ""dentata"", ""''"", ""("", ""Meyrick"", "","", ""1917"", "")"" ]"
[5,6,0,5,6,6,0,5];"[ ""Portland"", ""Township"", "","", ""Cerro"", ""Gordo"", ""County"", "","", ""Iowa"" ]"
[5,0,5];"[ ""Coloma"", "","", ""Wisconsin"" ]"
[1,2,2];"[ ""Juan"", ""Andrés"", ""Rodríguez"" ]"
[5,6,0,5];"[ ""Thousand"", ""Oaks"", "","", ""California"" ]"
[1,2,2];"[ ""Laurens"", ""Theodorus"", ""Gronovius"" ]"
[1,2,0,0];"[ ""Chris"", ""Brown"", ""-"", ""Singer"" ]"
[0,0,0,0];"[ ""''"", ""Marumba"", ""dyras"", ""''"" ]"
[1,2,0,0,0,0];"[ ""Steve"", ""Marshall"", ""("", ""American"", ""football"", "")"" ]"
[5,0,0,0,0];"[ ""Dover"", ""("", ""57.9"", ""%"", "")"" ]"
[1,2,0,0,0,0];"[ ""Joseph"", ""Finnegan"", ""("", ""Irish"", ""judge"", "")"" ]"
[3,4,4,4,4];"[ ""Long"", ""Valley"", ""Pub"", ""and"", ""Brewery"" ]"
[1,2,2,0,0,0];"[ ""Moses"", ""van"", ""Uyttenbroeck"", ""("", ""1600–1646"", "")"" ]"
[5,6,0,0,0,0,0];"[ ""San"", ""Juan-Carolina"", "","", ""PR"", ""Combined"", ""Statistical"", ""Area"" ]"
[0,0,0,0,5,0];"[ ""It"", ""was"", ""held"", ""in"", ""Mannheim"", ""."" ]"
[1,2,2];"[ ""Eve"", ""Louise"", ""Kelland"" ]"
[0,0,0,0,0,1,2];"[ ""'"", ""''"", ""2009–20102010–2013"", ""''"", ""'"", ""Osmany"", ""Juantorena"" ]"
[0,0,0,0,0,5,0,1,0];"[ ""It"", ""was"", ""first"", ""flown"", ""at"", ""Brooklands"", ""by"", ""H.P"", ""."" ]"
[1,2,0,0,0,0,0,0,0];"[ ""Charlie"", ""Smith"", ""("", ""Romani"", ""poet"", "")"", ""("", ""1956–2005"", "")"" ]"
[0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""Born"", ""in"", ""Salem"", ""District"", "","", ""he"", ""showed"", ""interest"", ""in"", ""Carnatic"", ""music"", ""even"", ""at"", ""an"", ""early"", ""age"", ""."" ]"
[3,4,4,4,4,4,4];"[ ""Historiographical"", ""Institute"", ""of"", ""the"", ""University"", ""of"", ""Tokyo"" ]"
[1,2,0,0,0];"[ ""Devesh"", ""Chauhan"", ""("", ""GK"", "")"" ]"
[3,4,4,4,4,4,4,4];"[ ""Revolutionary"", ""Communist"", ""Party"", ""of"", ""Turkey"", ""–"", ""Socialist"", ""Unity"" ]"
[0,0,0,0,0,1,0,0,0];"[ ""''"", ""Epirrhoe"", ""molluginata"", ""''"", ""("", ""Hübner"", "","", ""1813"", "")"" ]"
[0,0,0,1,2,0,0];"[ ""'"", ""''"", ""With"", ""Jan"", ""Garbarek"", ""''"", ""'"" ]"
[0,0,0,0,0];"[ ""Britain"", ""'s"", ""Great"", ""War"", ""''"" ]"
[0,5,0,0,0];"[ ""•"", ""Cerova"", ""("", ""965"", "")"" ]"
[1,2,2,2,2,0,0,0,0,5];"[ ""A.R."", ""``"", ""Babe"", ""''"", ""Schwartz"", ""("", ""D"", "")"", "","", ""Galveston"" ]"
[5,0,5,0,0,0];"[ ""Winder"", "","", ""Georgia"", ""–"", ""$"", ""17,108"" ]"
[5,6,0,0,0,0,0,3,4,4,4,0];"[ ""Oklahoma"", ""State"", ""57"", "","", ""("", ""7"", "")"", ""Texas"", ""A"", ""&"", ""M"", ""56"" ]"
[3,4,4,0,3,4];"[ ""Eastern"", ""Kentucky"", ""Colonels"", ""and"", ""Lady"", ""Colonels"" ]"
[0,0,0,5,6];"[ ""Communes"", ""of"", ""the"", ""Somme"", ""department"" ]"
[3,4,0,3];"[ ""United"", ""States"", ""Forces"", ""Korea"" ]"
[0,3,0,0,0];"[ "":"", ""Grätz"", "","", ""''Gesch"", ""."" ]"
[0,0,0,0,0,0,0,0];"[ ""The"", ""Big"", ""Fat"", ""Quiz"", ""of"", ""the"", ""Year"", ""''"" ]"
[1,2,0,1,2];"[ ""Laura"", ""Fraser"", "","", ""Callum"", ""Blue"" ]"
[5,6,0,5];"[ ""Algansee"", ""Township"", "","", ""Michigan"" ]"
[0,0,1,2,2,0];"[ ""*1867-1868"", "":"", ""William"", ""Henry"", ""Havelock"", ""Acting"" ]"
[0,0,0,0,1,0,0];"[ ""''"", ""Orocrambus"", ""angustipennis"", ""''"", ""Zeller"", "","", ""1877"" ]"
[1,2,2];"[ ""T."", ""Rice"", ""Holmes"" ]"
[1,2,2,0,0];"[ ""Henri"", ""Louis"", ""Habert"", ""de"", ""Montmor"" ]"
[0,0,0,0,0,0];"[ ""``"", ""Smells"", ""Like"", ""Teen"", ""Spirit"", ""''"" ]"
[0,5,6,0,5,6,6,0,0,0,0,0,0,0];"[ ""*In"", ""Logan"", ""County"", ""the"", ""South"", ""Platte"", ""River"", ""flooded"", "","", ""cresting"", ""at"", ""11.2"", ""feet"", ""."" ]"
[0,0,0,0,0,1,0,0,0];"[ ""''"", ""Glaucocharis"", ""rosanna"", ""''"", ""("", ""Bleszynski"", "","", ""1965"", "")"" ]"
[0,0,0,0,0,0,0];"[ ""Secret"", ""History"", ""of"", ""Empress"", ""Wu"", ""''"", ""武则天秘史"" ]"
[0,0,1,2,2,0,0,0];"[ ""Edited"", ""by"", ""Richard"", ""E."", ""Friedman"", "","", ""69–75"", ""."" ]"
[3,4,4,0,3,4,4,0];"[ ""Thunder"", ""Bay"", ""Senators"", ""("", ""Colonial"", ""Hockey"", ""League"", "")"" ]"
[1,2,0,0,0];"[ ""Kurt"", ""Hessenberg"", ""("", ""1908–1994"", "")"" ]"
[0,0,0,1,2,0,1,2];"[ ""*Celebrity"", ""judges"", "":"", ""Joy"", ""Denalane"", ""and"", ""Rea"", ""Garvey"" ]"
[0,0,0,0,5,0,5,0];"[ ""It"", ""is"", ""found"", ""in"", ""Malawi"", ""and"", ""Zimbabwe"", ""."" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""In"", ""1711"", "","", ""he"", ""left"", ""the"", ""work"", ""as"", ""translator"", ""to"", ""his"", ""son"", ""Johan"", ""Fredrik"", ""Peringskiöld"", "","", ""and"", ""in"", ""1719"", "","", ""he"", ""applied"", ""to"", ""be"", ""removed"", ""from"", ""his"", ""offices"", ""."" ]"
[0,0,3,4,4,4,4,0,0,0,0,0];"[ ""2x"", ""first-team"", ""Kansas"", ""Jayhawk"", ""Community"", ""College"", ""Conference"", ""("", ""2000"", "","", ""2001"", "")"" ]"
[1,2,0,1];"[ ""Anton"", ""Pointner"", ""as"", ""Seidewind"" ]"
[3,4,4,4,4,4,4,4,4,4,4,4,4,0,0];"[ ""The"", ""Institut"", ""Gustave"", ""Roussy"", ""''"", ""and"", ""the"", ""Assistance"", ""Publique"", ""–"", ""Hôpitaux"", ""de"", ""Paris"", ""''"", "";"" ]"
[0,3,4,4,4];"[ ""**"", ""Mandalay"", ""Bay"", ""Convention"", ""Center"" ]"
[5,0,5,6,6,6,6,0,5];"[ ""Bremen"", "","", ""Free"", ""Hanseatic"", ""City"", ""of"", ""Bremen"", "","", ""Germany"" ]"
[0,0,0];"[ ""Kiss"", ""+"", ""Swallow"" ]"
[0,0,0,0,0,1,0,0,0];"[ ""''"", ""Thyris"", ""fenestrella"", ""''"", ""("", ""Scopoli"", "","", ""1763"", "")"" ]"
[1,2,0,1,2];"[ ""Kenny"", ""Rogers"", ""with"", ""Kim"", ""Carnes"" ]"
[0,0,1,2,0,0];"[ ""'"", ""''"", ""Borislav"", ""Mikhailov"", ""''"", ""'"" ]"
[0,0,3,4,4,4,4,4];"[ ""Pentecostal"", "","", ""Assemblies"", ""of"", ""God"", ""in"", ""Great"", ""Britain"" ]"
3,4,4,0,5;"[ ""Royal"", ""Albert"", ""Hall"", "","", ""London"" ]"
[0,0,0,0,0,0];"[ ""European"", ""bee-eater"", "","", ""''Merops"", ""apiaster"", ""''"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""It"", ""was"", ""released"", ""in"", ""August"", ""1998"", ""as"", ""the"", ""second"", ""single"", ""from"", ""her"", ""album"", ""Sittin"", ""'"", ""on"", ""Top"", ""of"", ""the"", ""World"", ""''"", ""."" ]"
[0,0,0,0,0,0];"[ ""'"", ""''"", ""Capital"", ""city"", ""''"", ""'"" ]"
[0,0,0,0,0,1,0,0,0];"[ ""''"", ""Trifurcula"", ""subnitidella"", ""''"", ""("", ""Duponchel"", "","", ""1843"", "")"" ]"
[0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0] ;"[ ""In"", ""1808"", "","", ""his"", ""parents"", ""converted"", ""to"", ""Shakerism"", ""and"", ""joined"", ""the"", ""Pleasant"", ""Hill"", ""Shaker"", ""Society"", ""with"", ""their"", ""four"", ""children"", ""."" ]"
[3,4,4,4,4];"[ ""Empire"", ""Mine"", ""State"", ""Historic"", ""Park"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0];"[ ""They"", ""stayed"", ""there"", ""from"", ""1949"", ""to"", ""1952"", "","", ""and"", ""in"", ""1953"", ""they"", ""moved"", ""to"", ""Tahiti"", ""."" ]"
[0,0,5,0,5,6,0,0,0,0,0];"[ ""Practiced"", ""in"", ""Ithaca"", "","", ""New"", ""York"", ""from"", ""1881"", ""to"", ""1888"", ""."" ]"
